country,Left Score,Right Score,Score,Pref
US,36,29,59,None
US,37,37,66,Right
US,48,41,59,None
US,13,40,93,Right
US,38,23,51,Left
US,21,32,77,Right
MK,35,29,60,None
AU,36,29,59,None
ZA,52,31,45,Left
GB,27,30,69,Right
US,31,25,60,None
US,38,38,66,Right
US,31,29,64,None
SI,34,29,61,None
US,35,35,66,Right
PT,40,20,46,Left
HU,26,30,70,Right
US,37,30,59,None
US,33,36,69,Right
US,26,27,67,Right
US,32,28,62,None
BR,39,28,55,Left
IE,27,37,76,Right
GB,29,29,66,Right
CA,32,37,71,Right
US,33,30,63,None
CA,35,27,58,None
US,26,29,69,Right
US,37,42,71,Right
GB,31,27,62,None
AE,30,41,77,Right
GB,43,32,55,Left
SG,36,28,58,None
CA,28,26,64,None
US,29,25,62,None
US,30,29,65,Right
US,19,34,81,Right
IS,35,35,66,Right
GR,31,35,70,Right
BR,39,31,58,None
GR,36,30,60,None
US,27,28,67,Right
RO,34,35,67,Right
US,39,35,62,None
US,27,37,76,Right
CO,28,32,70,Right
US,26,28,68,Right
GB,48,26,44,Left
US,27,30,69,Right
US,22,37,81,Right
US,32,22,56,None
US,44,30,52,Left
US,21,27,72,Right
IT,35,30,61,None
AP,37,25,54,Left
US,24,31,73,Right
US,18,37,85,Right
AU,34,34,66,Right
IN,39,26,53,Left
HU,39,35,62,None
RO,33,29,62,None
CZ,34,29,61,None
US,33,22,55,Left
PH,33,28,61,None
ZA,42,36,60,None
US,31,42,77,Right
SA,35,39,70,Right
US,26,31,71,Right
ZA,39,30,57,None
CA,38,26,54,Left
GB,45,19,40,Left
AU,32,27,61,None
GB,31,31,66,Right
BR,52,17,31,Left
US,32,30,64,None
US,37,25,54,Left
MY,41,22,47,Left
IN,40,26,52,Left
CA,24,34,76,Right
CZ,27,31,70,Right
PH,36,37,67,Right
IN,39,29,56,None
PH,36,25,55,Left
GB,37,30,59,None
MY,32,25,59,None
CH,41,26,51,Left
IE,27,25,64,None
AE,29,43,80,Right
US,35,31,62,None
US,25,32,73,Right
HR,34,29,61,None
PL,23,33,76,Right
GB,24,27,69,Right
NO,29,34,71,Right
DE,29,32,69,Right
US,39,37,64,None
EU,29,27,64,None
US,40,33,59,None
CA,46,25,45,Left
JM,28,34,72,Right
US,31,33,68,Right
NL,36,37,67,Right
US,38,30,58,None
US,46,40,60,None
US,33,37,70,Right
US,39,29,56,None
US,32,32,66,Right
GB,31,35,70,Right
CA,35,22,53,Left
KR,27,39,78,Right
US,29,34,71,Right
US,39,34,61,None
US,24,30,72,Right
US,36,28,58,None
MY,44,35,57,None
PR,30,33,69,Right
MY,34,32,64,None
AU,34,31,63,None
TR,45,37,58,None
MU,34,27,59,None
GB,43,26,49,Left
US,29,36,73,Right
AU,37,28,57,None
RS,19,27,74,Right
SG,24,31,73,Right
US,28,35,73,Right
US,22,38,82,Right
US,33,34,67,Right
GB,35,30,61,None
US,33,33,66,Right
RS,40,24,50,Left
RS,33,27,60,None
GB,27,32,71,Right
EU,31,41,76,Right
US,22,30,74,Right
GB,44,22,44,Left
GB,34,31,63,None
GR,31,29,64,None
GR,28,27,65,Right
SI,34,37,69,Right
US,39,28,55,Left
US,38,25,53,Left
US,30,25,61,None
US,43,30,53,Left
US,31,24,59,None
US,35,41,72,Right
CA,30,29,65,Right
US,25,28,69,Right
US,31,36,71,Right
CA,33,35,68,Right
CA,27,38,77,Right
US,30,22,58,None
US,28,27,65,Right
US,38,25,53,Left
PH,40,26,52,Left
US,27,27,66,Right
MY,29,27,64,None
IN,26,40,80,Right
SG,38,31,59,None
MY,33,30,63,None
AU,37,28,57,None
US,36,35,65,Right
US,27,33,72,Right
CA,32,25,59,None
AP,24,31,73,Right
US,32,37,71,Right
US,33,28,61,None
AU,35,36,67,Right
IN,34,25,57,None
SG,29,34,71,Right
US,39,24,51,Left
MY,26,29,69,Right
US,21,34,79,Right
BG,18,44,92,Right
GB,37,34,63,None
ZA,35,34,65,Right
FR,35,31,62,None
US,33,35,68,Right
US,20,38,84,Right
NA,24,35,77,Right
PH,34,27,59,None
US,28,32,70,Right
GB,33,29,62,None
GB,39,28,55,Left
US,37,33,62,None
US,37,22,51,Left
AR,24,39,81,Right
US,23,38,81,Right
US,29,30,67,Right
MY,37,30,59,None
US,43,33,56,None
AR,44,22,44,Left
MY,35,33,64,None
US,36,34,64,None
EG,42,27,51,Left
ES,36,27,57,None
ID,34,39,71,Right
GB,25,26,67,Right
ID,31,31,66,Right
NL,29,36,73,Right
US,31,30,65,Right
IN,36,39,69,Right
FR,31,26,61,None
US,53,16,29,Left
HU,45,20,41,Left
US,34,28,60,None
US,35,37,68,Right
GB,36,27,57,None
CZ,30,19,55,Left
US,39,24,51,Left
US,42,31,55,Left
US,47,20,39,Left
BR,38,32,60,None
US,37,39,68,Right
FR,24,33,75,Right
US,42,25,49,Left
US,30,31,67,Right
DE,27,27,66,Right
DE,36,34,64,None
US,40,27,53,Left
BS,36,31,61,None
US,20,35,81,Right
US,35,32,63,None
US,30,24,60,None
PL,39,25,52,Left
US,42,36,60,None
GB,27,33,72,Right
US,25,32,73,Right
US,29,34,71,Right
US,32,30,64,None
US,35,37,68,Right
US,48,20,38,Left
US,35,26,57,None
LK,36,39,69,Right
US,35,30,61,None
US,38,29,57,None
MY,35,36,67,Right
US,31,44,79,Right
TZ,48,24,42,Left
US,41,37,62,None
AE,20,37,83,Right
GE,36,36,66,Right
US,30,25,61,None
US,36,24,54,Left
PK,26,26,66,Right
EU,34,31,63,None
MY,24,33,75,Right
US,29,26,63,None
RO,42,31,55,Left
SG,37,33,62,None
US,23,40,83,Right
US,31,45,80,Right
UY,30,24,60,None
GB,39,25,52,Left
ZA,44,32,54,Left
RO,29,34,71,Right
US,41,33,58,None
US,38,27,55,Left
US,45,39,60,None
US,23,42,85,Right
US,33,31,64,None
GB,39,26,53,Left
SE,34,37,69,Right
AU,38,22,50,Left
US,31,31,66,Right
ZA,32,29,63,None
US,28,32,70,Right
ZA,34,30,62,None
US,27,30,69,Right
US,23,34,77,Right
US,26,31,71,Right
US,41,12,37,Left
AU,38,22,50,Left
US,24,45,87,Right
CA,27,25,64,None
US,50,22,38,Left
BR,37,27,56,None
US,24,39,81,Right
US,51,31,46,Left
US,19,28,75,Right
AU,38,37,65,Right
ZA,38,26,54,Left
TR,33,37,70,Right
IN,31,17,52,Left
US,32,39,73,Right
HR,22,34,78,Right
US,46,26,46,Left
US,26,31,71,Right
US,43,31,54,Left
US,22,28,72,Right
US,30,32,68,Right
PT,37,25,54,Left
US,31,34,69,Right
MY,47,29,48,Left
GB,36,35,65,Right
GB,52,19,33,Left
US,38,27,55,Left
US,34,25,57,None
ID,35,28,59,None
US,34,32,64,None
CA,39,42,69,Right
US,41,27,52,Left
US,35,25,56,None
US,31,36,71,Right
US,42,29,53,Left
US,33,30,63,None
US,25,25,66,Right
US,27,31,70,Right
US,40,29,55,Left
US,21,37,82,Right
US,34,28,60,None
US,38,26,54,Left
US,23,31,74,Right
US,36,26,56,None
US,43,25,48,Left
TR,29,32,69,Right
IE,26,34,74,Right
NO,21,35,80,Right
US,29,36,73,Right
GB,40,31,57,None
US,42,37,61,None
BR,23,36,79,Right
BR,19,33,80,Right
GB,19,42,89,Right
US,33,36,69,Right
US,33,28,61,None
CA,39,27,54,Left
CA,32,29,63,None
GB,21,34,79,Right
CA,28,40,78,Right
US,29,42,79,Right
US,32,33,67,Right
GB,14,32,84,Right
US,51,25,40,Left
GB,41,27,52,Left
GB,40,36,62,None
US,43,23,46,Left
US,36,27,57,None
TH,39,29,56,None
FR,43,27,50,Left
CA,26,33,73,Right
HK,31,31,66,Right
CA,23,23,66,Right
IN,33,40,73,Right
PH,44,32,54,Left
PH,34,34,66,Right
NO,41,22,47,Left
IN,29,35,72,Right
US,31,32,67,Right
GB,34,24,56,None
DK,42,29,53,Left
US,35,29,60,None
US,38,28,56,None
US,35,30,61,None
FI,36,36,66,Right
AU,23,35,78,Right
CL,39,36,63,None
US,34,33,65,Right
US,22,30,74,Right
VE,30,39,75,Right
SE,26,33,73,Right
US,26,32,72,Right
GR,29,29,66,Right
US,29,31,68,Right
PH,47,28,47,Left
US,40,24,50,Left
US,21,35,80,Right
US,36,31,61,None
US,35,29,60,None
HR,27,29,68,Right
US,30,32,68,Right
PH,30,39,75,Right
US,46,27,47,Left
BR,29,29,66,Right
US,39,36,63,None
US,38,29,57,None
US,35,31,62,None
US,34,31,63,None
US,42,30,54,Left
CA,32,32,66,Right
US,27,34,73,Right
US,26,25,65,Right
US,35,26,57,None
US,42,29,53,Left
US,27,28,67,Right
CL,36,27,57,None
UY,37,24,53,Left
NZ,29,30,67,Right
IN,42,31,55,Left
AU,42,27,51,Left
MX,38,29,57,None
AU,31,29,64,None
CA,26,39,79,Right
GB,36,29,59,None
PH,38,29,57,None
CA,38,36,64,None
ES,34,29,61,None
PH,35,31,62,None
BA,20,40,86,Right
US,35,36,67,Right
US,21,35,80,Right
GB,30,38,74,Right
NL,20,35,81,Right
NL,20,37,83,Right
US,36,44,74,Right
US,36,34,64,None
BG,45,26,47,Left
IN,34,31,63,None
EU,39,17,44,Left
US,27,33,72,Right
GB,35,24,55,Left
SC,33,34,67,Right
SK,42,24,48,Left
US,33,30,63,None
US,26,34,74,Right
US,43,43,66,Right
GB,37,28,57,None
US,29,42,79,Right
BR,45,25,46,Left
US,36,31,61,None
AU,26,36,76,Right
US,31,36,71,Right
US,34,26,58,None
CA,25,31,72,Right
US,33,31,64,None
US,25,31,72,Right
US,23,24,67,Right
US,35,34,65,Right
AU,26,42,82,Right
AU,38,36,64,None
PH,38,30,58,None
AT,35,31,62,None
US,27,28,67,Right
IN,47,24,43,Left
AU,30,25,61,None
US,41,27,52,Left
US,36,32,62,None
US,17,37,86,Right
US,37,29,58,None
US,33,34,67,Right
US,47,31,50,Left
US,30,34,70,Right
US,38,33,61,None
US,33,25,58,None
GB,35,33,64,None
US,29,27,64,None
GB,33,31,64,None
AU,32,36,70,Right
US,49,31,48,Left
US,21,37,82,Right
US,33,30,63,None
US,33,30,63,None
US,31,21,56,None
IN,28,22,60,None
HR,34,30,62,None
US,36,31,61,None
GR,37,34,63,None
GB,41,30,55,Left
US,38,38,66,Right
GB,38,38,66,Right
US,26,37,77,Right
US,31,29,64,None
US,39,23,50,Left
IN,35,34,65,Right
US,41,29,54,Left
US,33,31,64,None
GT,29,37,74,Right
US,27,32,71,Right
US,34,21,53,Left
US,24,27,69,Right
US,23,30,73,Right
US,35,35,66,Right
CA,40,29,55,Left
IN,35,45,76,Right
MY,32,33,67,Right
US,29,42,79,Right
US,35,24,55,Left
US,29,33,70,Right
ES,45,24,45,Left
GB,33,29,62,None
CA,43,28,51,Left
BH,30,28,64,None
US,28,38,76,Right
IE,31,28,63,None
US,48,25,43,Left
US,20,36,82,Right
US,43,24,47,Left
US,29,27,64,None
US,38,30,58,None
US,19,40,87,Right
NO,38,24,52,Left
US,39,26,53,Left
US,29,31,68,Right
SG,40,24,50,Left
US,36,29,59,None
US,32,23,57,None
US,24,27,69,Right
US,31,22,57,None
BG,32,24,58,None
US,36,28,58,None
US,40,28,54,Left
CA,29,36,73,Right
US,47,16,35,Left
US,37,24,53,Left
IN,39,32,59,None
US,24,38,80,Right
US,25,37,78,Right
MX,39,20,47,Left
US,29,37,74,Right
CA,45,26,47,Left
GB,38,35,63,None
US,40,35,61,None
NL,36,33,63,None
US,30,32,68,Right
BR,45,33,54,Left
CA,44,32,54,Left
US,36,29,59,None
AP,36,28,58,None
US,29,38,75,Right
US,44,29,51,Left
US,34,28,60,None
PH,31,25,60,None
US,37,37,66,Right
AU,46,26,46,Left
ZA,39,22,49,Left
US,32,26,60,None
US,20,31,77,Right
US,35,28,59,None
GE,27,32,71,Right
US,18,31,79,Right
HK,18,29,77,Right
LK,36,26,56,None
GB,36,27,57,None
IN,50,26,42,Left
ID,32,34,68,Right
US,20,37,83,Right
LB,47,35,54,Left
US,45,36,57,None
GB,30,37,73,Right
SG,30,34,70,Right
CA,37,37,66,Right
US,25,30,71,Right
PH,28,29,67,Right
US,47,27,46,Left
US,44,31,53,Left
US,28,34,72,Right
US,49,30,47,Left
RO,26,41,81,Right
US,29,25,62,None
US,33,36,69,Right
AT,19,37,84,Right
GB,29,34,71,Right
TR,34,34,66,Right
RS,39,26,53,Left
NZ,32,33,67,Right
CA,33,27,60,None
IT,21,37,82,Right
US,37,38,67,Right
US,32,26,60,None
US,33,36,69,Right
US,33,30,63,None
US,43,36,59,None
US,39,31,58,None
US,23,35,78,Right
GB,28,31,69,Right
PH,44,25,47,Left
US,47,27,46,Left
US,21,36,81,Right
US,36,32,62,None
US,25,40,81,Right
IE,33,42,75,Right
US,20,37,83,Right
US,41,22,47,Left
AR,22,33,77,Right
US,30,32,68,Right
PH,35,25,56,None
CA,41,23,48,Left
US,39,25,52,Left
US,28,36,74,Right
PH,28,30,68,Right
CA,28,39,77,Right
PH,44,29,51,Left
MY,39,20,47,Left
GB,31,31,66,Right
PH,35,28,59,None
CY,22,35,79,Right
GB,39,29,56,None
GB,49,18,35,Left
PH,32,24,58,None
IN,46,32,52,Left
IN,38,30,58,None
US,47,18,37,Left
NL,41,32,57,None
GB,29,25,62,None
AU,26,30,70,Right
GB,28,31,69,Right
US,31,24,59,None
GB,29,29,66,Right
TH,35,38,69,Right
MY,42,29,53,Left
RO,49,18,35,Left
US,23,39,82,Right
GB,35,29,60,None
GB,32,33,67,Right
ZA,51,30,45,Left
PH,30,37,73,Right
GB,38,25,53,Left
GR,26,31,71,Right
NO,23,30,73,Right
NO,39,30,57,None
NL,38,22,50,Left
US,52,35,49,Left
DE,25,31,72,Right
BG,36,37,67,Right
IT,26,30,70,Right
NL,34,29,61,None
US,35,35,66,Right
CA,25,19,60,None
NZ,36,35,65,Right
CA,40,41,67,Right
GB,39,33,60,None
CA,54,33,45,Left
EC,32,35,69,Right
US,41,40,65,Right
US,23,33,76,Right
US,39,28,55,Left
US,51,25,40,Left
US,47,35,54,Left
US,34,26,58,None
US,31,25,60,None
NP,40,37,63,None
US,39,30,57,None
US,41,41,66,Right
US,33,23,56,None
US,25,30,71,Right
US,35,31,62,None
US,17,34,83,Right
MY,41,24,49,Left
AU,17,39,88,Right
IN,45,25,46,Left
CN,46,31,51,Left
PL,33,32,65,Right
PH,30,37,73,Right
US,39,31,58,None
QA,18,26,74,Right
ZA,32,35,69,Right
IT,27,30,69,Right
US,18,35,83,Right
GB,40,25,51,Left
US,42,23,47,Left
US,42,27,51,Left
NO,27,38,77,Right
AP,44,28,50,Left
US,26,33,73,Right
US,32,32,66,Right
CA,33,28,61,None
US,31,24,59,None
US,52,32,46,Left
ZA,50,36,52,Left
ZA,34,26,58,None
US,39,35,62,None
GB,27,35,74,Right
US,27,31,70,Right
US,35,32,63,None
US,30,27,63,None
CA,29,29,66,Right
US,28,28,66,Right
GB,39,31,58,None
NL,19,37,84,Right
US,26,33,73,Right
CA,41,26,51,Left
FI,27,28,67,Right
US,52,33,47,Left
IE,26,31,71,Right
SE,37,30,59,None
ID,32,37,71,Right
CA,26,31,71,Right
US,12,44,98,Right
US,30,37,73,Right
AU,21,39,84,Right
US,32,29,63,None
US,22,34,78,Right
US,32,36,70,Right
FI,47,27,46,Left
AU,33,30,63,None
NO,30,23,59,None
MY,46,29,49,Left
MY,22,36,80,Right
US,15,39,90,Right
US,37,31,60,None
US,42,29,53,Left
IE,31,28,63,None
ZA,34,30,62,None
RO,30,32,68,Right
US,48,21,39,Left
ZA,35,37,68,Right
US,31,28,63,None
IN,22,32,76,Right
GB,21,33,78,Right
GB,22,35,79,Right
US,33,36,69,Right
US,37,33,62,None
GB,37,27,56,None
US,30,34,70,Right
LK,34,28,60,None
RO,33,27,60,None
IE,41,28,53,Left
GB,36,28,58,None
DE,25,39,80,Right
US,37,27,56,None
US,36,34,64,None
US,25,29,70,Right
CA,45,22,43,Left
SG,37,24,53,Left
US,37,33,62,None
US,26,26,66,Right
US,25,28,69,Right
US,23,38,81,Right
CR,34,20,52,Left
US,47,31,50,Left
GB,25,27,68,Right
US,29,31,68,Right
GB,23,39,82,Right
US,37,28,57,None
CA,38,32,60,None
US,25,38,79,Right
AU,48,24,42,Left
US,25,26,67,Right
AU,40,37,63,None
SG,33,31,64,None
IN,30,39,75,Right
TH,26,34,74,Right
GB,29,27,64,None
US,28,39,77,Right
AT,31,33,68,Right
MU,35,41,72,Right
AU,40,28,54,Left
US,35,35,66,Right
ZA,47,29,48,Left
SG,35,37,68,Right
ID,22,37,81,Right
US,29,25,62,None
GB,30,36,72,Right
MY,30,30,66,Right
MV,36,20,50,Left
SA,38,38,66,Right
IN,24,28,70,Right
US,27,36,75,Right
PH,30,36,72,Right
US,26,33,73,Right
ID,40,28,54,Left
US,29,40,77,Right
US,27,30,69,Right
US,22,29,73,Right
EE,30,34,70,Right
GB,35,21,52,Left
US,24,27,69,Right
NZ,35,34,65,Right
US,26,27,67,Right
US,31,32,67,Right
US,28,25,63,None
US,26,28,68,Right
